t,v_ref,w_ref,delta_ref,v_cmd,delta_cmd,v_meas,delta_meas,v_err,delta_err,clamped,vel_rate_limited,steer_rate_limited,fl,fr,rl,rr,steer_l,steer_r,heading,curvature,x,y
0.88000000,1.00000000,0.50000000,0.46364761,0.40985000,0.43679413,0.30835000,0.43679413,0.69165000,0.02685348,0,0,1,25.53089220,32.14393119,22.43740903,29.74631371,0.49738403,0.38868041,0.05439459,0.46687002,0.13730787,0.00332947
0.89000000,1.00000000,0.50000000,0.46364761,0.41335000,0.44479413,0.31185000,0.44479413,0.68815000,0.01885348,0,0,1,25.80520199,32.58808749,22.55180694,30.07754965,0.50757692,0.39509115,0.05586434,0.47665050,0.14042151,0.00350359
0.90000000,1.00000000,0.50000000,0.46364761,0.41685000,0.43733485,0.31535000,0.43733485,0.68465000,0.02631276,0,0,0,25.97068302,32.70441198,22.81538256,30.25960786,0.49807193,0.38911429,0.05732233,0.46752876,0.14356983,0.00368426
0.91000000,1.00000000,0.50000000,0.46364761,0.42035000,0.44533485,0.31885000,0.44533485,0.68115000,0.01831276,0,0,1,26.24619076,33.15171773,22.92838879,30.59223548,0.50826702,0.39552378,0.05882754,0.47731423,0.14675281,0.00387172
0.92000000,1.00000000,0.50000000,0.46364761,0.42385000,0.43733485,0.32235000,0.43733485,0.67765000,0.02631276,0,0,1,26.40679861,33.25360446,23.19851241,30.76774569,0.49807193,0.38911429,0.06031825,0.46752876,0.14997045,0.00406604
0.93000000,1.00000000,0.50000000,0.46364761,0.42735000,0.44533485,0.32585000,0.44533485,0.67415000,0.01831276,0,0,1,26.68326304,33.70378630,23.31021041,31.10168153,0.50826702,0.39552378,0.06185687,0.47731423,0.15322272,0.00426747
0.94000000,1.00000000,0.50000000,0.46364761,0.43085000,0.43895877,0.32935000,0.43895877,0.67065000,0.02468884,0,0,0,26.85460576,33.83851046,23.56534640,31.29217938,0.50013881,0.39041685,0.06338677,0.46950914,0.15650960,0.00447610
0.95000000,1.00000000,0.50000000,0.46364761,0.43435000,0.44695877,0.33285000,0.44695877,0.66715000,0.01668884,0,0,1,27.13278574,34.29241824,23.67547890,31.62768073,0.51034045,0.39682259,0.06496538,0.47930967,0.15983108,0.00469218
0.96000000,1.00000000,0.50000000,0.46364761,0.43785000,0.43895877,0.33635000,0.43895877,0.66365000,0.02468884,0,0,1,27.29091130,34.38828317,23.94821150,31.80058197,0.50013881,0.39041685,0.06652814,0.46950914,0.16318714,0.00491578
0.97000000,1.00000000,0.50000000,0.46364761,0.44135000,0.44695877,0.33985000,0.44695877,0.66015000,0.01668884,0,0,1,27.57005868,34.84507607,24.05703376,32.13739355,0.51034045,0.39682259,0.06814030,0.47930967,0.16657776,0.00514718
0.98000000,1.00000000,0.50000000,0.46364761,0.44485000,0.43895877,0.34335000,0.43895877,0.65665000,0.02468884,0,0,1,27.72721684,34.93805588,24.33107659,32.30898456,0.50013881,0.39041685,0.06973592,0.46950914,0.17000291,0.00538642
0.99000000,1.00000000,0.50000000,0.46364761,0.44835000,0.44695877,0.34685000,0.44695877,0.65315000,0.01668884,0,0,1,28.00733161,35.39773390,24.43858861,32.64710637,0.51034045,0.39682259,0.07138163,0.47930967,0.17346258,0.00563380
1.00000000,1.00000000,0.50000000,0.46364761,0.45185000,0.43904304,0.35035000,0.43904304,0.64965000,0.02460457,0,0,0,28.16416248,35.48977550,24.71305407,32.81827476,0.50024610,0.39048443,0.07301048,0.46961200,0.17695674,0.00588937
1.01000000,1.00000000,0.50000000,0.46364761,0.45535000,0.44704304,0.35385000,0.44704304,0.64615000,0.01660457,0,0,1,28.44528580,35.95238422,24.81924217,33.15772050,0.51044809,0.39688997,0.07469011,0.47941331,0.18048538,0.00615341
1.02000000,1.00000000,0.50000000,0.46364761,0.45885000,0.44029853,0.35735000,0.44029853,0.64265000,0.02334908,0,0,0,28.61020695,36.06907025,25.08246870,33.34012781,0.50184503,0.39149091,0.07635725,0.47114528,0.18404847,0.00642601
1.03000000,1.00000000,0.50000000,0.46364761,0.46235000,0.44829853,0.36085000,0.44829853,0.63915000,0.01534908,0,0,1,28.89292063,36.53525169,25.18714061,33.68108974,0.51205207,0.39789357,0.07807596,0.48095830,0.18764597,0.00670746
